Event,Date,Position,Finish Time,Age Grade,Course Personal Best,New Personal Best,Latitude,Longitude
Harcourt Hill,11/03/2023,7,00:21:32,68.73%,No,No,51.597185,-1.021595
University Parks,04/03/2023,95,00:22:45,65.05%,No,No,51.762367,-1.254413
Harcourt Hill,25/02/2023,36,00:25:41,57.62%,No,No,51.597185,-1.021595
Harcourt Hill,21/01/2023,13,00:21:55,67.53%,No,No,51.597185,-1.021595
University Parks,14/01/2023,82,00:22:14,66.57%,No,No,51.762367,-1.254413
Coldham’s Common,01/01/2023,18,00:21:15,69.65%,No,No,52.2073,0.154411
Holyrood,25/12/2022,54,00:22:50,64.82%,No,No,55.951552,-3.175094
Harcourt Hill,10/12/2022,9,00:20:56,70.70%,No,No,51.597185,-1.021595
Harcourt Hill,03/12/2022,6,00:21:20,69.38%,No,No,51.597185,-1.021595
Coldham’s Common,26/11/2022,25,00:20:49,71.10%,No,No,52.2073,0.154411
Harcourt Hill,12/11/2022,9,00:21:39,68.36%,No,No,51.597185,-1.021595
Harcourt Hill,05/11/2022,8,00:21:15,69.65%,No,No,51.597185,-1.021595
Harcourt Hill,29/10/2022,9,00:21:18,69.48%,No,No,51.597185,-1.021595
Harcourt Hill,22/10/2022,23,00:23:09,63.93%,No,No,51.597185,-1.021595
Harcourt Hill,15/10/2022,23,00:22:30,65.78%,No,No,51.597185,-1.021595
Uditore,08/10/2022,4,00:21:55,67.53%,No,No,38.132088,13.325215
University Parks,17/09/2022,31,00:20:05,73.69%,No,No,51.762367,-1.254413
Oxford,10/09/2022,27,00:21:11,69.87%,No,No,51.752013,-1.25785
Portobello,03/09/2022,16,00:21:31,68.78%,Yes,No,55.952863,-3.114557
University Parks,20/08/2022,41,00:20:52,70.93%,No,No,51.762367,-1.254413
Chipping Norton School,13/08/2022,8,00:20:57,70.64%,No,No,51.937646,-1.539999
Harcourt Hill,06/08/2022,20,00:22:27,65.92%,No,No,51.597185,-1.021595
Portrush,30/07/2022,42,00:24:29,60.45%,No,No,55.206032,-6.654049
University Parks,23/07/2022,36,00:20:46,71.27%,No,No,51.762367,-1.254413
Harcourt Hill,16/07/2022,10,00:21:22,69.27%,No,No,51.597185,-1.021595
Wimbledon Common,09/07/2022,84,00:23:29,63.02%,No,No,51.427074,-0.244198
Storeys Field,02/07/2022,29,00:20:06,73.63%,Yes,No,52.218488,0.089193
University Parks,21/05/2022,60,00:20:43,71.44%,No,No,51.762367,-1.254413
Harcourt Hill,07/05/2022,21,00:22:39,65.34%,No,No,51.597185,-1.021595
University Parks,23/04/2022,35,00:19:44,75.00%,No,No,51.762367,-1.254413
Harcourt Hill,09/04/2022,8,00:20:44,71.38%,Yes,No,51.597185,-1.021595
University Parks,02/04/2022,23,00:19:30,75.90%,No,Yes,51.762367,-1.254413
Harcourt Hill,26/03/2022,12,00:21:01,70.42%,Yes,No,51.597185,-1.021595
Harcourt Hill,12/03/2022,5,00:21:45,68.05%,No,No,51.597185,-1.021595
Harcourt Hill,26/02/2022,34,00:26:54,55.02%,No,No,51.597185,-1.021595
Harcourt Hill,19/02/2022,18,00:21:43,68.15%,No,No,51.597185,-1.021595
Harcourt Hill,05/02/2022,9,00:21:49,67.84%,No,No,51.597185,-1.021595
Harcourt Hill,29/01/2022,14,00:21:44,68.10%,No,No,51.597185,-1.021595
Harcourt Hill,22/01/2022,28,00:23:27,63.11%,No,No,51.597185,-1.021595
Harcourt Hill,15/01/2022,11,00:21:18,69.48%,No,No,51.597185,-1.021595
Coldham’s Common,01/01/2022,23,00:21:37,68.47%,No,No,52.2073,0.154411
Harcourt Hill,18/12/2021,21,00:22:37,65.44%,No,No,51.597185,-1.021595
Harcourt Hill,04/12/2021,7,00:21:14,69.70%,No,No,51.597185,-1.021595
Harcourt Hill,06/11/2021,29,00:23:44,62.36%,No,No,51.597185,-1.021595
Coldham’s Common,30/10/2021,24,00:20:21,72.73%,Yes,Yes,52.2073,0.154411
Harcourt Hill,16/10/2021,16,00:21:26,69.05%,No,No,51.597185,-1.021595
St Andrews,09/10/2021,16,00:20:35,71.90%,No,No,56.340368,-2.795044
Fulham Palace,18/09/2021,32,00:21:06,70.14%,No,No,51.470538,-0.215168
Storeys Field,21/08/2021,45,00:20:31,72.14%,No,Yes,52.218488,0.089193
Harcourt Hill,14/08/2021,26,00:22:41,65.25%,No,No,51.597185,-1.021595
Harcourt Hill,07/08/2021,16,00:21:08,70.03%,Yes,No,51.597185,-1.021595
Coldham’s Common,31/07/2021,28,00:21:00,70.48%,Yes,No,52.2073,0.154411
Milton Country,14/03/2020,24,00:21:23,69.21%,No,No,52.235724,0.164725
Milton Country,07/03/2020,27,00:21:13,69.76%,No,No,52.235724,0.164725
Coldham’s Common,18/01/2020,60,00:22:02,67.17%,Yes,No,52.2073,0.154411
Harcourt Hill,11/01/2020,23,00:22:13,66.62%,No,No,51.597185,-1.021595
Portobello,28/12/2019,53,00:22:01,67.22%,No,No,55.952863,-3.114557
Milton Country,21/12/2019,45,00:21:39,68.36%,No,No,52.235724,0.164725
Harcourt Hill,16/11/2019,24,00:21:57,67.43%,No,No,51.597185,-1.021595
Catton,19/10/2019,30,00:21:46,67.99%,No,No,54.197807,-1.434492
Milton Country,05/10/2019,48,00:21:52,67.68%,No,No,52.235724,0.164725
Milton Country,20/07/2019,31,00:20:45,71.33%,No,No,52.235724,0.164725
Milton Country,18/05/2019,36,00:20:39,71.67%,Yes,Yes,52.235724,0.164725
Coldham’s Common,10/11/2018,70,00:22:34,65.58%,No,No,52.2073,0.154411
Milton Country,03/11/2018,72,00:22:05,67.02%,Yes,Yes,52.235724,0.164725
Milton Country,20/10/2018,66,00:22:16,66.47%,Yes,Yes,52.235724,0.164725
Milton Country,08/09/2018,90,00:22:22,66.17%,Yes,Yes,52.235724,0.164725
Milton Country,04/08/2018,121,00:23:47,62.23%,No,Yes,52.235724,0.164725
